positives,url
3,a.uzibukibbwf.com
3,login.microsoftonline.com.nsatc.net
3,bidder-us-west-2.ffbtas.com
3,u.pomf.is
2,ipadian.ps4em.com
2,a.dpmsrv.com
2,qifofqakxcihvudylavje2qakjucfybi7l5ovse2bjqaauwi.eclampsialemontree.net
2,www.freelancer.co.za
2,ssl.gstatic.com
2,ow.ly
2,audownload.windowsupdate.nsatc.net
2,imprusmp.basebanner.com
2,cdn-images.mailchimp.com
2,appleid.apple.com.akadns.net
2,usatodayhss.com
2,beacon.securestudies.com
2,0h2bkurmc66wejrnweh6ad0aaab37s.eclampsialemontree.net
2,js.cycleuniverseupdate.com
2,login.live.com.nsatc.net
2,zt.1rx.io
