qry_class,qry_name,qry_name_len,qry_type,resp_class,resp_len,resp_name,resp_ttl,resp_type,id,flags_opcode,flags_response,a,count_queries,count_auth_rr,count_answers
0x00000001,answers.map.fastly.net,22,1,0x00000001,4,answers.map.fastly.net,28,1,0x0000abf6,0,1,199.27.76.203,1,0,1
0x00000001,fancy.com,9,28,,,,,,0x0000ab9b,0,0,,1,0,0
0x00000001,fancy.com,9,28,0x00000001,45,fancy.com,180,6,0x0000ab9b,0,1,,1,1,0
0x00000001,b.voicefive.com,15,1,0x00000001,31,b.voicefive.com,2567,5,0x0000447a,0,1,209.48.71.98,1,0,4
0x00000001,search.yahoo.com,16,1,0x00000001,31,search.yahoo.com,217,5,0x0000ee33,0,1,98.137.201.252,1,0,2
0x00000001,ds1-global.l7.search.ystg1.b.yahoo.com,38,28,,,,,,0x00008c20,0,0,,1,0,0
0x00000001,lb-adsync-854927962.us-west-2.elb.amazonaws.com,47,1,,,,,,0x0000c4f2,0,0,,1,0,0
0x00000001,twitter.com,11,1,0x00000001,4,twitter.com,16,1,0x000098af,0,1,199.16.156.38,1,0,4
0x00000001,caff3cd17507f4eae9a2-fb0f007939af08af84bc449e17f85d3b.r11.cf2.rackcdn.com,73,1,0x00000001,6,caff3cd17507f4eae9a2-fb0f007939af08af84bc449e17f85d3b.r11.cf2.rackcdn.com,300,5,0x0000df68,0,1,96.17.161.130,1,0,5
0x00000001,a13.dscg10.akamai.net,21,1,0x00000001,4,a13.dscg10.akamai.net,20,1,0x000074da,0,1,96.17.161.113,1,0,2
0x00000001,EXCAS2.press.jhu.edu,20,1,0x00000001,4,EXCAS2.press.jhu.edu,3600,1,0x00004b91,0,1,192.168.6.83,1,0,1
0x00000001,www19.clicktale.net,19,1,,,,,,0x000031d7,0,0,,1,0,0
0x00000001,www19.clicktale.net,19,1,0x00000001,4,www19.clicktale.net,37942,1,0x000031d7,0,1,184.172.110.35,1,0,1
0x00000001,static-ec2.thefancy.com,23,1,,,,,,0x00008827,0,0,,1,0,0
0x00000001,static-ec2.thefancy.com,23,1,0x00000001,22,static-ec2.thefancy.com,323,5,0x00008827,0,1,93.184.216.102,1,0,2
0x00000001,static-ec6.thefancy.com,23,1,,,,,,0x0000e08e,0,0,,1,0,0
0x00000001,static.getclicky.com,20,1,,,,,,0x00001683,0,0,,1,0,0
0x00000001,static-ec4.thefancy.com,23,1,,,,,,0x00000959,0,0,,1,0,0
0x00000001,static-ec4.thefancy.com,23,1,0x00000001,22,static-ec4.thefancy.com,866,5,0x00000959,0,1,93.184.216.102,1,0,2
0x00000001,cs267.wac.chicdn.net,20,1,0x00000001,4,cs267.wac.chicdn.net,2123,1,0x0000cd46,0,1,93.184.216.102,1,0,1
0x00000001,bcp.crwdcntrl.net,17,1,0x00000001,4,bcp.crwdcntrl.net,10246,5,0x00002a6c,0,1,199.233.57.18,1,0,4
0x00000001,p.nexac.com,11,1,,,,,,0x0000dc90,0,0,,1,0,0
0x00000001,p.nexac.com,11,1,0x00000001,8,p.nexac.com,20,5,0x0000dc90,0,1,52.86.47.182,1,0,10
0x00000001,aws-p-nv-tag-elb-01-693140211.us-east-1.elb.amazonaws.com,57,1,,,,,,0x000080be,0,0,,1,0,0
0x00000001,logs-01.loggly.com,18,1,,,,,,0x00009465,0,0,,1,0,0
0x00000001,logs-01.loggly.com,18,1,0x00000001,4,logs-01.loggly.com,60,1,0x0000a94b,0,1,54.236.68.122,1,0,1
0x00000001,geo.yahoo.com,13,1,0x00000001,42,geo.yahoo.com,93,5,0x0000f9aa,0,1,98.139.199.205,1,0,3
0x00000001,ds-geoycpi-uno-lite.gycpi.b.yahoodns.net,40,1,0x00000001,4,ds-geoycpi-uno-lite.gycpi.b.yahoodns.net,15,1,0x0000c6c4,0,1,98.139.199.204,1,0,2
0x00000001,tumblr.com,10,1,,,,,,0x00000582,0,0,,1,0,0
0x00000001,facebook.com,12,1,0x00000001,4,facebook.com,189,1,0x0000f103,0,1,66.220.158.68,1,0,1
0x00000001,www.google-analytics.com,24,1,,,,,,0x0000446f,0,0,,1,0,0
0x00000001,www-googletagmanager.l.google.com,33,1,,,,,,0x0000fbba,0,0,,1,0,0
0x00000001,www-googletagmanager.l.google.com,33,1,0x00000001,4,www-googletagmanager.l.google.com,20,1,0x0000fbba,0,1,216.58.217.72,1,0,1
0x00000001,www-google-analytics.l.google.com,33,28,,,,,,0x000023ea,0,0,,1,0,0
0x00000001,e544.g.akamaiedge.net,21,1,0x00000001,4,e544.g.akamaiedge.net,20,1,0x00004b4d,0,1,104.95.66.138,1,0,1
0x00000001,resize-ec3.thefancy.com,23,1,,,,,,0x000022d1,0,0,,1,0,0
0x00000001,thefancy-media-ec6.thefancy.com,31,1,0x00000001,22,thefancy-media-ec6.thefancy.com,865,5,0x00002afd,0,1,93.184.216.102,1,0,2
0x00000001,in.getclicky.com,16,1,0x00000001,4,in.getclicky.com,211,1,0x00008e15,0,1,198.145.13.14,1,0,4
0x00000001,www.facebook.com,16,1,0x00000001,17,www.facebook.com,2980,5,0x0000975b,0,1,31.13.69.228,1,0,2
0x00000001,a1158.b.akamai.net,18,28,,,,,,0x00003120,0,0,,1,0,0
0x00000001,a1158.b.akamai.net,18,28,0x00000001,49,b.akamai.net,314,6,0x00003120,0,1,,1,1,0
0x00000001,resize-ec6.thefancy.com,23,1,0x00000001,22,resize-ec6.thefancy.com,1800,5,0x0000c140,0,1,93.184.216.102,1,0,2
0x00000001,maps.googleapis.com,19,1,,,,,,0x00002265,0,0,,1,0,0
0x00000001,maps.googleapis.com,19,1,0x00000001,22,maps.googleapis.com,199,5,0x00002265,0,1,173.194.208.95,1,0,2
0x00000001,maps.google.com,15,1,,,,,,0x00002cac,0,0,,1,0,0
0x00000001,www.googleadservices.com,24,1,0x00000001,26,www.googleadservices.com,208,5,0x000031c1,0,1,172.217.1.2,1,0,2
0x00000001,dart.l.doubleclick.net,22,1,,,,,,0x0000f20e,0,0,,1,0,0
0x00000001,dart.l.doubleclick.net,22,28,,,,,,0x0000a407,0,0,,1,0,0
0x00000001,us-courier.push-apple.com.akadns.net,36,1,0x00000001,4,us-courier.push-apple.com.akadns.net,43,1,0x0000280e,0,1,17.143.163.147,1,0,8
0x00000001,api.mixpanel.com,16,1,,,,,,0x00007cd5,0,0,,1,0,0
0x00000001,api.mixpanel.com,16,1,0x00000001,4,api.mixpanel.com,642,1,0x00007cd5,0,1,169.54.33.146,1,0,13
0x00000001,tms.vclk.akadns.net,19,28,0x00000001,54,akadns.net,15,6,0x0000ab22,0,1,,1,1,0
0x00000001,accounts.google.com,19,28,0x00000001,16,accounts.google.com,126,28,0x00002ed6,0,1,,1,0,1
0x00000001,cdn.globalsigncdn.com,21,1,,,,,,0x0000b490,0,0,,1,0,0
0x00000001,ocsp2.globalsign.com,20,1,,,,,,0x0000a61d,0,0,,1,0,0
0x00000001,ocsp.comodoca.com,17,28,0x00000001,16,ocsp.comodoca.com,92,28,0x00008462,0,1,,1,0,1
0x00000001,www.google.com,14,28,,,,,,0x0000af61,0,0,,1,0,0
0x00000001,sb.l.google.com,15,28,,,,,,0x0000a264,0,0,,1,0,0
0x00000001,sb.l.google.com,15,28,0x00000001,16,sb.l.google.com,284,28,0x0000a264,0,1,,1,0,1
0x00000001,static.criteo.net,17,1,0x00000001,4,static.criteo.net,143,1,0x00001515,0,1,74.119.118.74,1,0,1
0x00000001,ping.chartbeat.net,18,1,0x00000001,4,ping.chartbeat.net,16,1,0x00000286,0,1,107.20.139.156,1,0,8
0x00000001,EXCAS2.press.jhu.edu,20,1,0x00000001,4,EXCAS2.press.jhu.edu,3600,1,0x00008dd9,0,1,192.168.6.83,1,0,1
0x00000001,gscounters.us1.gigya.com,24,1,,,,,,0x000031b3,0,0,,1,0,0
0x00000001,gscounters.us1.gigya.com,24,1,0x00000001,8,gscounters.us1.gigya.com,18,5,0x000031b3,0,1,74.120.148.192,1,0,7
0x00000001,gscounters.us1.gigya.com,24,1,0x00000001,8,gscounters.us1.gigya.com,18,5,0x0000373e,0,1,74.120.148.193,1,0,7
